regime,scenario,model,n,rmse,mae,r2,correlation
CV-GE-continuous,efold_2__gfold_4,E,1847,2.823864933017009,2.2325113079254897,-0.010436265333254147,0.22757518382355627
CV-GE-continuous,efold_2__gfold_4,G,1847,2.7880071334616114,2.255602188680743,0.015062108343694702,0.23892157580935053
CV-GE-continuous,efold_2__gfold_4,G+E,1847,2.9392048080013633,2.365819784113959,-0.09466386724331843,0.2201765879800225
CV-GE-continuous,efold_2__gfold_4,G+E+GxE,1847,3.0342630044733196,2.40153626840088,-0.16661492491744956,0.2030793018982759
CV-GE-continuous,efold_2__gfold_4,Mean,1847,2.8425076463783303,2.230995408993752,-0.02382178799516299,
CV-GE-continuous,efold_3__gfold_0,E,2066,2.4890080768983265,1.9917706037752996,-0.05293216984157878,0.19277392757414208
CV-GE-continuous,efold_3__gfold_0,G,2066,2.1935924971935634,1.6910107144473814,0.18217630946669028,0.47355073338322307
CV-GE-continuous,efold_3__gfold_0,G+E,2066,2.3007119742373745,1.8365869465510636,0.10035268417446574,0.37743954617316156
CV-GE-continuous,efold_3__gfold_0,G+E+GxE,2066,2.1982869832198153,1.7532707308293118,0.17867213075015442,0.4662475687950926
CV-GE-continuous,efold_3__gfold_0,Mean,2066,2.4660176412761383,1.8911052540257887,-0.033570585328514424,
CV-GE-continuous,efold_3__gfold_1,E,2121,2.4705262153149805,1.983599109272912,-0.08890727581521651,0.17457246629273007
CV-GE-continuous,efold_3__gfold_1,G,2121,2.1629208243112377,1.6827411896445539,0.16537150021088787,0.4412766037826423
CV-GE-continuous,efold_3__gfold_1,G+E,2121,2.287581719943649,1.8271720104782774,0.06639063111280274,0.35141607996056734
CV-GE-continuous,efold_3__gfold_1,G+E+GxE,2121,2.2823654566561635,1.8213271471152548,0.07064350642967909,0.39377236846212466
CV-GE-continuous,efold_3__gfold_1,Mean,2121,2.4181819403627838,1.8818548294478767,-0.04325365087761934,
CV-GE-continuous,efold_3__gfold_2,E,2068,2.509616321552185,2.0074434157940457,-0.1114263537274891,0.16932388795664918
CV-GE-continuous,efold_3__gfold_2,G,2068,2.189910341842832,1.6901244619573048,0.15371099385372422,0.45044849420463756
CV-GE-continuous,efold_3__gfold_2,G+E,2068,2.3127663423876874,1.8343327635086188,0.05609226083684149,0.36331324498542067
CV-GE-continuous,efold_3__gfold_2,G+E+GxE,2068,2.236693700255882,1.7766722721483452,0.11716598248145038,0.42390313713236333
CV-GE-continuous,efold_3__gfold_2,Mean,2068,2.46573921072568,1.887242306373836,-0.07290263766760074,3.1753775151232637e-16
CV-GE-continuous,efold_3__gfold_3,E,2144,2.539462599848937,2.046380489594199,-0.09400249061339738,0.1485691763183736
CV-GE-continuous,efold_3__gfold_3,G,2144,2.1963587719826205,1.7250227533604863,0.1816459531514727,0.4586921769116301
CV-GE-continuous,efold_3__gfold_3,G+E,2144,2.3440055899809935,1.8760859508092036,0.06792264976328743,0.3404330325604868
CV-GE-continuous,efold_3__gfold_3,G+E+GxE,2144,2.2813234144821495,1.8245582033596963,0.11710636819208109,0.41224997930667745
CV-GE-continuous,efold_3__gfold_3,Mean,2144,2.4568822134503803,1.9343638642181111,-0.02400797991864101,
CV-GE-continuous,efold_3__gfold_4,E,2110,2.4911415809845843,2.0051654596601263,-0.0919931713173745,0.15228743475512263
CV-GE-continuous,efold_3__gfold_4,G,2110,2.150776732167892,1.6716134245968837,0.186019951781086,0.4450823670850872
CV-GE-continuous,efold_3__gfold_4,G+E,2110,2.297290097024334,1.8457608663378786,0.07134418649803242,0.33427606217678635
CV-GE-continuous,efold_3__gfold_4,G+E+GxE,2110,2.353435022914897,1.8781307216997056,0.025397490687030455,0.37044987040313826
CV-GE-continuous,efold_3__gfold_4,Mean,2110,2.394441212569792,1.8523142665925179,-0.008861290361738217,
CV-GE-continuous,efold_4__gfold_0,E,2302,2.210741783884484,1.7718936899691158,0.11836614072533935,0.40092622158150226
CV-GE-continuous,efold_4__gfold_0,G,2302,2.405990943843951,1.9470337545272496,-0.044239695348756713,0.13148136623601947
CV-GE-continuous,efold_4__gfold_0,G+E,2302,2.3476529180045675,1.8911607307387952,0.005785707179766009,0.34010796409133803
CV-GE-continuous,efold_4__gfold_0,G+E+GxE,2302,2.336289813460106,1.8519437615871275,0.015386802922278453,0.5067105267748323
CV-GE-continuous,efold_4__gfold_0,Mean,2302,2.3593456144786713,1.9175862509388613,-0.004142502957412031,1.2585261050845437e-16
CV-GE-continuous,efold_4__gfold_1,E,2404,2.252832303167205,1.7872524296217693,0.11432085382419144,0.3852150187774814
CV-GE-continuous,efold_4__gfold_1,G,2404,2.429472190218965,1.9702435661521154,-0.03001263866839876,0.14774175939741255
CV-GE-continuous,efold_4__gfold_1,G+E,2404,2.343334425552662,1.8791295891435342,0.04173145024328917,0.3510743789238023
CV-GE-continuous,efold_4__gfold_1,G+E+GxE,2404,2.3700992891024977,1.8617359474086268,0.019716326695487285,0.49397450085437256
CV-GE-continuous,efold_4__gfold_1,Mean,2404,2.40045229062305,1.9496064989729343,-0.005552724131150599,
CV-GE-continuous,efold_4__gfold_2,E,2141,2.2991719658981804,1.847645765968086,0.10342895651231498,0.4010669348955889
CV-GE-continuous,efold_4__gfold_2,G,2141,2.506354904003294,2.019598796773999,-0.06543493561865632,0.11866036897450785
CV-GE-continuous,efold_4__gfold_2,G+E,2141,2.426281635399841,1.975236034280501,0.001554831819424951,0.33002129203430697
CV-GE-continuous,efold_4__gfold_2,G+E+GxE,2141,2.345215199053882,1.8516341998733497,0.06715991939663135,0.5211997863302267
CV-GE-continuous,efold_4__gfold_2,Mean,2141,2.4282104138800795,1.9605925431423117,-3.32319713103324e-05,
CV-GE-continuous,efold_4__gfold_3,E,2345,2.2959719831729997,1.8371812135725316,0.051800586767652756,0.341179338224773
CV-GE-continuous,efold_4__gfold_3,G,2345,2.385837075055512,1.9157668497615836,-0.023877689931390167,0.16338938618783064
CV-GE-continuous,efold_4__gfold_3,G+E,2345,2.4104017339024657,1.9388852350827528,-0.04506998780549232,0.3059262122234189
CV-GE-continuous,efold_4__gfold_3,G+E+GxE,2345,2.393066824817378,1.891391246239506,-0.030092359991281237,0.49090875423348146
CV-GE-continuous,efold_4__gfold_3,Mean,2345,2.3613694915863013,1.910318580256439,-0.0029849344256445143,-1.1565731957524108e-16
CV-GE-continuous,efold_4__gfold_4,E,2316,2.275708330739607,1.8089465890717118,0.1207394877277358,0.39320634062390547
CV-GE-continuous,efold_4__gfold_4,G,2316,2.435542014364993,1.961695165570564,-0.007107017719460318,0.17322204564040228
CV-GE-continuous,efold_4__gfold_4,G+E,2316,2.3755609532368926,1.9059207960745301,0.04188701265427852,0.3534073667007226
CV-GE-continuous,efold_4__gfold_4,G+E+GxE,2316,2.320777674098042,1.8381936979552818,0.08556793485565262,0.5213720806764672
CV-GE-continuous,efold_4__gfold_4,Mean,2316,2.437102930786866,1.9777987717161023,-0.008398322584321827,
