coordinate_key,latitude,longitude,first_date,last_date,n_days,missing_fraction,parameters,source,time_standard
41.0582_-100.7553,41.0581536333333,-100.7553151,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.1584_-101.9883,41.158431,-101.988324,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.1611_-96.4109,41.1611313333333,-96.4108536666667,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.9874_-92.2602,41.987383,-92.2601563,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.9940_-93.6884,41.99399,-93.68836,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.9965_-93.6962,41.99653,-93.696188,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.9975_-93.6999,41.99750188,-93.69989887,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.9976_-93.6962,41.997611,-93.696219,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
41.9977_-93.6962,41.997745,-93.696248,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.0346_-93.7954,42.03458,-93.79537,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.0659_-94.7274,42.06591034,-94.7274477,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.0659_-94.7274,42.06593,-94.727418,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.6819_-84.4943,42.681924,-84.494308,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.6885_-84.4973,42.688469,-84.497319,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.6899_-84.4979,42.689878,-84.497939,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
42.7074_-84.4697,42.707406,-84.469747,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
