regime,scenario,model,n_train,n_test,alpha,gamma_gxe,inner_grouped_rmse,cg_iterations,rmse,mae,r2,rho
CV-GE,env_ME3__gfold_0,G+E+GxE,1437,120,10.0,4.0,0.9194273134260535,32,0.9778925700767519,0.7390039728323546,0.05524354257297137,0.2885938684893951
CV-GE,env_ME3__gfold_1,Environment mean,1437,120,,0.0,,0,1.101924453426907,0.8860719155363683,-0.003911767466045379,8.075997361846518e-17
CV-GE,env_ME3__gfold_1,G,1437,120,10.0,0.0,0.96788279501645,20,1.0454529798562127,0.8315179917288493,0.09634862686965462,0.34064806548980414
CV-GE,env_ME3__gfold_1,G+E,1437,120,10.0,0.0,0.9689325311780626,20,1.0454529798560483,0.8315179917292067,0.09634862686993872,0.34064806549297916
CV-GE,env_ME3__gfold_1,G+E+GxE,1437,120,1.0,1.0,0.9031744493472897,67,1.0371169402737674,0.8202063484921758,0.11070191036037336,0.3416276984196202
CV-GE,env_ME3__gfold_2,Environment mean,1437,120,,0.0,,0,0.9482354078201408,0.7556846729510874,-0.00033105796248733554,1.8150877938503883e-16
CV-GE,env_ME3__gfold_2,G,1437,120,10.0,0.0,0.9764706935163838,20,0.8927251828914283,0.7080942106206007,0.1133606773544088,0.34982730851827737
CV-GE,env_ME3__gfold_2,G+E,1437,120,10.0,0.0,0.9764972456503012,20,0.8927251828947681,0.7080942106219221,0.11336067734777466,0.34982730849915916
CV-GE,env_ME3__gfold_2,G+E+GxE,1437,120,10.0,4.0,0.915513576051333,32,0.9095563102613066,0.7224168419264126,0.07961273907260968,0.3684123609894788
CV-GE,env_ME3__gfold_3,Environment mean,1437,120,,0.0,,0,0.9722828005326251,0.726944203263307,-0.0019369047106496673,3.619429850673235e-17
CV-GE,env_ME3__gfold_3,G,1437,120,10.0,0.0,0.9753186619355229,20,0.9568987048461783,0.712206329587535,0.029518858664505765,0.1764956466383084
CV-GE,env_ME3__gfold_3,G+E,1437,120,10.0,0.0,0.9750598619578837,20,0.956898704847495,0.7122063295927958,0.029518858661835234,0.17649564663240697
CV-GE,env_ME3__gfold_3,G+E+GxE,1437,120,10.0,4.0,0.9102440513916631,32,0.9593001639444534,0.7120389821142789,0.02464165444897315,0.16978034638370487
CV-GE,env_ME3__gfold_4,Environment mean,1440,119,,0.0,,0,0.958690252332381,0.7965194870860353,-0.0006005080187410083,-8.955774373040678e-17
CV-GE,env_ME3__gfold_4,G,1440,119,10.0,0.0,0.9489396008210342,20,0.8900255455043009,0.7462158837758227,0.13759942047985052,0.41563792536097305
CV-GE,env_ME3__gfold_4,G+E,1440,119,10.0,0.0,0.9491460194522915,20,0.8900255455000825,0.7462158837712264,0.13759942048802565,0.4156379253660725
CV-GE,env_ME3__gfold_4,G+E+GxE,1440,119,1.0,1.0,0.8672607848941943,66,0.8826208019451933,0.7376267711712853,0.15188955176041563,0.4013303475783267
CV-GE,env_ME4__gfold_0,Environment mean,1437,120,,0.0,,0,1.0081745668176838,0.8053219385038958,-0.003739899464154872,7.722948282238547e-17
CV-GE,env_ME4__gfold_0,G,1437,120,10.0,0.0,0.9779807046758934,20,0.9744641071360534,0.7982447869303707,0.06226223210497195,0.2621536186005621
CV-GE,env_ME4__gfold_0,G+E,1437,120,10.0,0.0,0.9786732573976358,20,0.9744641071350479,0.7982447869305414,0.06226223210690718,0.26215361860557546
CV-GE,env_ME4__gfold_0,G+E+GxE,1437,120,10.0,4.0,0.9329885088579573,32,0.9830442340898496,0.800480380444583,0.045676026350022325,0.2593222525191538
CV-GE,env_ME4__gfold_1,Environment mean,1437,120,,0.0,,0,1.0122414255382064,0.7743084942228069,-0.0014646820139556649,
CV-GE,env_ME4__gfold_1,G,1437,120,1.0,0.0,0.9557940475556046,58,1.0736347846923633,0.8231470229117691,-0.12662808204514153,0.0446841690373909
CV-GE,env_ME4__gfold_1,G+E,1437,120,1.0,0.0,0.9562165344466313,58,1.0736347902942338,0.8231470279401798,-0.12662809380188578,0.04468415359536492
CV-GE,env_ME4__gfold_1,G+E+GxE,1437,120,10.0,4.0,0.8998626991958275,32,1.0104226882541067,0.7610233657471653,0.0021308334736702683,0.07731793118113182
CV-GE,env_ME4__gfold_2,Environment mean,1437,120,,0.0,,0,0.958677800716613,0.7405843720702623,-0.0018229175519965946,-1.9318873097416726e-18
CV-GE,env_ME4__gfold_2,G,1437,120,1.0,0.0,0.9620144635146434,58,0.9331854322259335,0.7276243585098072,0.050747998554664164,0.27025506048727355
CV-GE,env_ME4__gfold_2,G+E,1437,120,1.0,0.0,0.9620683639990545,58,0.9331854313335497,0.7276243553865567,0.05074800037015981,0.27025506456893644
CV-GE,env_ME4__gfold_2,G+E+GxE,1437,120,10.0,4.0,0.9101738088114573,32,0.9248719017469457,0.7164654174223862,0.06758598768071877,0.3228247729987729
CV-GE,env_ME4__gfold_3,Environment mean,1437,120,,0.0,,0,0.8642597671840778,0.6658660731732731,-0.017531650626881,-5.615158175614393e-17
CV-GE,env_ME4__gfold_3,G,1437,120,1.0,0.0,0.9494476036914031,59,0.9285903718182101,0.7183136993310667,-0.1746478470529036,0.03516672859175615
CV-GE,env_ME4__gfold_3,G+E,1437,120,1.0,0.0,0.9514869906657115,59,0.9285903716018279,0.7183136993717159,-0.1746478465054655,0.035166727947862374
CV-GE,env_ME4__gfold_3,G+E+GxE,1437,120,10.0,4.0,0.9044287504105031,32,0.8652161223800919,0.662805044907718,-0.019784815998838967,0.08489799003638533
CV-GE,env_ME4__gfold_4,Environment mean,1440,119,,0.0,,0,1.1321161275408727,0.8866443293724985,-0.000609949839198709,-1.2365052334905055e-18
CV-GE,env_ME4__gfold_4,G,1440,119,1.0,0.0,0.9554622366708856,60,1.0920561840733896,0.865292856233764,0.06895037874272447,0.2740305931097983
CV-GE,env_ME4__gfold_4,G+E,1440,119,1.0,0.0,0.9557423176040644,58,1.0920561903836628,0.8652928561565512,0.06895036798287968,0.27403057327223623
CV-GE,env_ME4__gfold_4,G+E+GxE,1440,119,1.0,1.0,0.8946868456152945,66,1.087973503998559,0.8506777111284565,0.0758988716727571,0.2756629303349289
