regime,environment,environment_fold,model,n,selected_config,rmse,mae,r2,correlation,novelty_nearest_z,novelty_mean5_z,max_training_kernel_similarity
CV-GE-continuous-B6R,2019-NEH1,3,Selected-G+E,308,environment_narrower,2.688682467169409,2.2377336159396073,-0.5205946401673549,0.11771002399640668,3.8588308323945077,11.532140673362154,0.9210221969216741
CV-GE-continuous-B6R,2019-NEH1,3,Selected-G+E+GxE,308,environment_narrower,2.758146717545901,2.290164585408759,-0.6001811636552128,0.06048855022432217,3.8588308323945077,11.532140673362154,0.9210221969216741
CV-GE-continuous-B6R,2019-NEH2,0,B6-fixed-G+E,170,baseline,1.664336650709592,1.3291855491455187,-0.2392208702431493,0.23041612014479973,,,
CV-GE-continuous-B6R,2019-NEH2,0,Selected-G,170,environment_narrower,2.741674078622724,2.41449964753823,-2.362776602171884,0.23719138915946608,3.755327268894736,10.311091851482761,0.925290176276319
CV-GE-continuous-B6R,2019-NEH2,0,Selected-G+E,170,environment_narrower,1.7135028410936883,1.378187120962707,-0.31351798220649374,0.2287457279747507,3.755327268894736,10.311091851482761,0.925290176276319
CV-GE-continuous-B6R,2019-NEH2,0,Selected-G+E+GxE,170,environment_narrower,1.7776144600514792,1.4362025935010139,-0.4136487508977449,0.18350303106732016,3.755327268894736,10.311091851482761,0.925290176276319
CV-GE-continuous-B6R,2019-NEH2L,4,B6-fixed-G+E,174,baseline,2.344790779747979,1.7791299049346714,-0.1736535905667893,0.156757351327704,,,
CV-GE-continuous-B6R,2019-NEH2L,4,Selected-G,174,environment_rank_32,2.1692102086375766,1.7282299228664806,-0.00446547878414516,0.16224750161344495,10.826366233478149,11.73140580205653,0.7216822053662437
CV-GE-continuous-B6R,2019-NEH2L,4,Selected-G+E,174,environment_rank_32,2.3701141112776973,1.79678184060165,-0.1991409893267262,0.13492569086800021,10.826366233478149,11.73140580205653,0.7216822053662437
CV-GE-continuous-B6R,2019-NEH2L,4,Selected-G+E+GxE,174,environment_rank_32,2.255875132481584,1.7100325606133064,-0.08633019240287787,0.20714371943779047,10.826366233478149,11.73140580205653,0.7216822053662437
