environment,test_year,model,n,rmse,mae,r2,correlation
2016-WIH2,2016,T2-Mean12,418,4.841064315606163,4.2913411775389605,-3.00744102810427,0.38167847110968167
2016-WIH2,2016,T2-Median12,418,3.7296057583143583,3.1079364828468,-1.3785445418029565,0.39840576011303863
2017-COH1,2017,Frozen-T1,209,1.3778976233529774,1.022789898068113,-0.06130374563559782,0.149200031660361
2017-COH1,2017,Frozen-T2,209,1.3509684361006897,1.020214175157063,-0.020225559274644755,0.17506561926922998
2017-COH1,2017,T2-Mean12,209,1.377945965798222,1.019002193537625,-0.06137821694225676,0.1555060131550014
2017-COH1,2017,T2-Median12,209,1.3676484673345106,1.0172739865935914,-0.045573966019508694,0.15674102823327696
2017-DEH1,2017,Frozen-T1,168,2.170495031331277,1.748878504475766,-0.07058229564241669,0.4262823780740051
2017-DEH1,2017,Frozen-T2,168,3.9463911387455046,3.482909029297602,-2.5391805592214167,0.41204449519799546
2017-DEH1,2017,T2-Mean12,168,2.4269798640983464,2.018453902985706,-0.33855065653933325,0.44056267432360624
2017-DEH1,2017,T2-Median12,168,3.094646888672145,2.669183496439924,-1.17632959605479,0.43706083486187325
2017-GAH1,2017,Frozen-T1,130,2.628671598644434,2.0819775841192003,-0.044317546527196994,0.26330883246718095
2017-GAH1,2017,Frozen-T2,130,3.8403934316475494,3.1629977415671324,-1.2290065558126058,0.23851818414694717
2017-GAH1,2017,T2-Mean12,130,2.518280843125615,2.0222486786837925,0.041552711991098,0.2668748750332492
2017-GAH1,2017,T2-Median12,130,2.4853434295446326,2.0109463007811175,0.0664604387636446,0.27448699806200916
2017-GAH2,2017,Frozen-T1,84,1.5983725440737198,1.2592249349630449,0.0030575885389799717,0.1675244183193997
2017-GAH2,2017,Frozen-T2,84,2.823766718745351,2.3990038443793886,-2.111513436348832,0.1346160828685785
2017-GAH2,2017,T2-Mean12,84,1.6034404709332069,1.2664382270320043,-0.003274403414844196,0.174399187976507
2017-GAH2,2017,T2-Median12,84,1.6378373952955505,1.3208249499252684,-0.04678048051267436,0.22773179677375738
2017-IAH4,2017,Frozen-T1,326,2.040464795645078,1.681761553634244,-0.46264737395162503,0.4135948621618523
2017-IAH4,2017,Frozen-T2,326,3.7840784165628625,3.4484455520296753,-4.030390252456603,0.3596057507202095
2017-IAH4,2017,T2-Mean12,326,2.726096863161149,2.377118425060904,-1.6107422011924264,0.4055262978151729
2017-IAH4,2017,T2-Median12,326,3.6698590588973605,3.3634409421821885,-3.7312968162412146,0.41558198181146483
2017-ILH1,2017,Frozen-T1,173,1.9944676741348262,1.6293406126285968,-1.4836585879563486,-0.052499949510516036
