environment_a,environment_b,n_common_genotypes,n_common_unordered_genotype_pairs,mean_prediction_offset_a_minus_b,environment_offset_sd_across_common_genotypes,max_abs_pairwise_contrast_deviation,max_abs_centered_prediction_deviation,local_max_float32_ulp,max_pairwise_deviation_in_local_float32_ulp,float32_four_term_ulp_budget,float32_implementation_bound,invariant_within_csv_only_precision,consistent_with_float32_implementation,uses_target_outcomes
ILH1_2024,WIH2_2024,38,703,0.004504454762631511,4.255796628059429e-07,9.537100016387967e-07,7.027373669643566e-07,9.5367431640625e-07,1.000037418678403,4.0,3.824697265625e-06,False,True,False
ILH1_2024,WIH3_2024,45,990,-0.0444709565897778,3.68732614832494e-07,9.53799998981708e-07,7.842102220934066e-07,9.5367431640625e-07,1.0001317877322435,4.0,3.824697265625e-06,False,True,False
INH1_2024,MIH1_2024,40,780,1.20183176994275,3.015893014648373e-07,1.90737999972157e-06,1.0013372495620843e-06,9.5367431640625e-07,2.000032890588045,4.0,3.824697265625e-06,False,True,False
INH1_2024,MOH1_2024,32,496,3.0836172997925,4.439837615394004e-07,1.9074199997248797e-06,1.0431225021534374e-06,9.5367431640625e-07,2.0000748336315155,4.0,3.824697265625e-06,False,True,False
INH1_2024,NCH1_2024,49,1176,1.6963972364122448,4.768405367379062e-07,9.538200007597197e-07,5.450077580348989e-07,9.5367431640625e-07,1.0001527611166239,4.0,3.824697265625e-06,False,True,False
INH1_2024,NEH1_2024,15,105,1.789144770304,4.3654351730392555e-07,9.53809999870714e-07,6.994059997822433e-07,9.5367431640625e-07,1.0001422744244337,4.0,3.824697265625e-06,False,True,False
INH1_2024,NEH2_2024,15,105,1.818535614015333,3.948599993229774e-07,9.537499998657495e-07,7.629653318019791e-07,9.5367431640625e-07,1.0000793598592281,4.0,3.824697265625e-06,False,True,False
INH1_2024,NYH2_2024,42,861,1.5072731517676192,4.804269286491611e-07,9.53800000758065e-07,5.223323835679139e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
INH1_2024,NYH3_2024,43,903,1.5072730530181395,4.5990849388539965e-07,9.53800000758065e-07,6.21081861496009e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
INH1_2024,OHH1_2024,15,105,1.4612843831446667,4.365317612420982e-07,9.537399989767437e-07,6.993846639602452e-07,9.5367431640625e-07,1.000068873167038,4.0,3.824697265625e-06,False,True,False
INH1_2024,TXH1_2024,15,105,2.475588289898,4.924835832153172e-07,9.537699998674043e-07,5.0867200052096e-07,9.5367431640625e-07,1.0001003313809633,4.0,3.824697265625e-06,False,True,False
INH1_2024,WIH1_2024,39,741,-0.40324061956564095,4.7908947381598e-07,9.53800000758065e-07,5.380343583993863e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
INH1_2024,WIH2_2024,46,1035,1.472911461540435,4.7057844541073283e-07,9.53800000758065e-07,5.80540435279886e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
INH1_2024,WIH3_2024,45,990,1.4239359537775556,3.7491922765206526e-07,1.907409998835874e-06,1.0172775528616285e-06,9.5367431640625e-07,2.0000643469393253,4.0,3.824697265625e-06,False,True,False
MIH1_2024,MOH1_2024,31,465,1.8817855158216126,3.6869015525959133e-07,1.430550000236508e-06,8.306583918482602e-07,9.5367431640625e-07,1.5000403970479965,4.0,3.824697265625e-06,False,True,False
MIH1_2024,NCH1_2024,52,1326,0.49456548691307695,4.814945395944116e-07,9.538000025344218e-07,4.769130761417273e-07,9.5367431640625e-07,1.0001317914575338,4.0,3.824697265625e-06,False,True,False
