regime,environment,model,n,rmse,mae,r2,correlation
CV-E-B7,2015-INH1,Process-MK,423,1.7728927482140295,1.3873544169970324,0.020858487242506163,0.1976270133525673
CV-E-B7,2015-INH1,Reproductive-transition,423,1.9411676703599325,1.4988037031750636,-0.1738338681480025,0.1492817594739385
CV-E-B7,2015-INH1,Stage-MK,423,2.3630150649964086,1.919580304877669,-0.7394562795170629,0.17804798866381485
CV-E-B7,2015-INH1,Thermal,423,1.8696439533239184,1.4826017378826644,-0.08892596923902607,0.1473843695376827
CV-E-B7,2015-INH1,Thermal+water-MK,423,2.414565692139711,2.0132231382814036,-0.8161787407664927,0.17960915826150448
CV-E-B7,2015-INH1,Vegetative,423,1.8351130598095682,1.4476972453358588,-0.049074156435451544,0.16344166368642563
CV-E-B7,2015-INH1,Water-soil,423,1.7728562082539663,1.3638279362680228,0.02089884774723716,0.18266591291988235
CV-E-B7,2015-KSH1,All-nonleaky,418,2.2638741246534213,1.8767640506408672,-0.5512053887779806,0.11180647150281925
CV-E-B7,2015-KSH1,B6R-all-EC-reference,418,2.3401862244329714,1.948303397544259,-0.6575460030658304,0.11018192073015275
CV-E-B7,2015-KSH1,Canopy-growth,418,5.056588711061445,4.718310028744691,-6.738913901386245,0.07449263353892469
CV-E-B7,2015-KSH1,Grain-fill-maturity,418,3.9001957578658337,3.4891296631955613,-3.604023849403914,0.10400999137827241
CV-E-B7,2015-KSH1,Process-MK,418,1.9356275831250453,1.5500024341399223,-0.13398773677680076,0.08971640691330326
CV-E-B7,2015-KSH1,Reproductive-transition,418,3.406430045049595,2.99612237242599,-2.512074361804959,0.093165411337729
CV-E-B7,2015-KSH1,Stage-MK,418,2.260820961052551,1.7826263907337943,-0.547024157913659,0.09588490576953053
CV-E-B7,2015-KSH1,Thermal,418,2.143968598567427,1.7570401749071392,-0.3912385205760094,0.08665673654137568
CV-E-B7,2015-KSH1,Thermal+water-MK,418,1.89797373226524,1.5317328644261996,-0.09029783211966702,0.09275713701505384
CV-E-B7,2015-KSH1,Vegetative,418,3.1903068740864398,2.778288025330495,-2.0805600056672464,0.08828521120700424
CV-E-B7,2015-KSH1,Water-soil,418,2.820739576330733,2.417693337495379,-1.4081899372835855,0.12175688450055161
CV-E-B7,2015-MNH1,All-nonleaky,407,1.5323133793123325,1.1919106012888083,-0.23916459272154822,0.03450453892796277
CV-E-B7,2015-MNH1,B6R-all-EC-reference,407,1.5579978664830392,1.213283897825062,-0.28105426179773185,0.03377939106327841
CV-E-B7,2015-MNH1,Canopy-growth,407,1.5489197355566613,1.2326007378750325,-0.26616887974476944,0.08184428028412655
CV-E-B7,2015-MNH1,Grain-fill-maturity,407,1.6726557010256666,1.321363365256292,-0.47654578636672396,0.08741725064005196
CV-E-B7,2015-MNH1,Process-MK,407,1.5483669381280476,1.21288235694296,-0.26526526933270866,0.1536400809591982
CV-E-B7,2015-MNH1,Reproductive-transition,407,1.4952833821189961,1.169216195063657,-0.1799967793640358,0.05471002162949792
