phenotype_name,model,rmse,mae,r2,predictive_correlation,n,fold
shoots 21d protocol b,Elastic Net,2.516992042999358,2.0212988191667725,-1.130015471512258,0.06012429284350658,24,2
shoots 21d protocol b,Elastic Net,2.4271804917832425,1.883993609636926,-0.4283337827656777,-0.010045007402720348,55,3
shoots 21d protocol b,Elastic Net,1.7966428085724562,1.0751453167862364,0.15131453919101834,0.40464599240615706,15,4
shoots 21d protocol b,Kernel Ridge,2.8369820011625664,0.9697051511742234,-0.1318135393547608,-0.040752175724676445,31,0
shoots 21d protocol b,Kernel Ridge,1.6216201630433695,0.5403952680605334,-0.12392856797692264,0.12128304242260061,27,1
shoots 21d protocol b,Kernel Ridge,1.8758627094709162,0.7396838202077842,-0.18309923334102574,-0.36005654094247586,24,2
shoots 21d protocol b,Kernel Ridge,2.2394238673462072,0.9449146475776882,-0.2159008652821326,-0.08300277559015795,55,3
shoots 21d protocol b,Kernel Ridge,2.1130424772287126,0.8139419646854494,-0.17392332108722597,0.4225312760128784,15,4
shoots 21d protocol b,Random Forest,2.766419379587628,1.727557269548271,-0.0762118273085981,-0.16176956195182834,31,0
shoots 21d protocol b,Random Forest,1.6238015710309806,1.0956181179517717,-0.12695442552347358,-0.1904544797745223,27,1
shoots 21d protocol b,Random Forest,1.8294154989489673,1.5713306670858864,-0.12523642184914352,0.1728352871234221,24,2
shoots 21d protocol b,Random Forest,2.0137738766146236,1.3476552164654736,0.016788458406733486,0.1582252651473769,55,3
shoots 21d protocol b,Random Forest,2.0130521074732517,1.384012267103131,-0.06545057645034791,-0.0601318871618448,15,4
