environment,test_year,model,n,rmse,mae,r2,correlation
2018-INH1,2018,Selected-T2,407,2.4032416594688004,2.058942623496091,-2.232251830520414,-0.020794693187947594
2018-MIH1,2018,Frozen-T1,375,1.8505880925686486,1.5627197015264431,-1.034455037873263,0.09144813324611747
2018-MIH1,2018,Frozen-T2,375,1.3996097951994937,1.1311893194945746,-0.16370396992098324,0.08361863298124747
2018-MIH1,2018,Selected-T2,375,1.7743932206269977,1.4868045976823514,-0.8703733612791265,0.09222036124623155
2018-MNH1,2018,Frozen-T1,916,1.7641624520307497,1.3565595009056333,-0.08400306351646014,0.15830129873952287
2018-MNH1,2018,Frozen-T2,916,2.1288521221690018,1.625580095348322,-0.5784991425750543,0.15979518358352404
2018-MNH1,2018,Selected-T2,916,1.8011346160028368,1.3740249176716641,-0.1299148247530253,0.1580813023356078
2018-MOH1,2018,Frozen-T1,790,1.52516175170289,1.2173029920660665,-0.4172690406104027,-0.017330835130292075
2018-MOH1,2018,Frozen-T2,790,1.541165285802538,1.230985124139641,-0.44716791657318544,-0.017414023535145078
2018-MOH1,2018,Selected-T2,790,1.495712817441179,1.1919681761360947,-0.3630661103916495,-0.017319628593043594
2018-NCH1,2018,Frozen-T1,639,2.9794947771379516,2.4824189067458122,-0.91664953130454,0.3087937755981904
2018-NCH1,2018,Frozen-T2,639,2.6517991541757207,2.183925063043694,-0.5182339750271465,0.301297938906022
2018-NCH1,2018,Selected-T2,639,3.4370508102611317,2.9277296505175414,-1.5505236512549145,0.3046854397160343
2018-NYH1,2018,Frozen-T1,373,1.887245798097357,1.4763872393919153,-0.09702330977883467,-0.011638046746638053
2018-NYH1,2018,Frozen-T2,373,1.8355669602094482,1.4608889415584125,-0.037765874059026316,-0.009764409273050882
2018-NYH1,2018,Selected-T2,373,1.833453360590711,1.4664351457870852,-0.03537733822883293,-0.008564655765303507
2018-NYH2,2018,Frozen-T1,395,2.1389225276236576,1.6880188670053473,-0.2654907181711508,0.1875843337448545
2018-NYH2,2018,Frozen-T2,395,2.1580323673116633,1.704189471711637,-0.28820435584526094,0.18825300123450273
2018-NYH2,2018,Selected-T2,395,2.4739167888987947,1.9980257989254415,-0.6929301155826351,0.18962135022698562
2018-NYH3,2018,Frozen-T1,416,3.514817362568267,3.168227254427609,-3.7766567786369114,0.10597264961375523
2018-NYH3,2018,Frozen-T2,416,3.4743254429703225,3.1257322111957184,-3.6672332310941007,0.10864505689932169
2018-NYH3,2018,Selected-T2,416,3.2357952299908845,2.866821941625471,-3.048373481961641,0.10088988224051626
2018-OHH1,2018,Frozen-T1,380,2.7174829631983615,2.4015761783405827,-2.724356583630785,-0.11186537744914961
2018-OHH1,2018,Frozen-T2,380,1.9583269159718142,1.652451767701641,-0.9341403323869302,-0.1117309973657479
2018-OHH1,2018,Selected-T2,380,2.7741491876899933,2.460209326383362,-2.881300075808759,-0.1163931193186439
2018-SCH1,2018,Frozen-T1,378,2.7726013840779475,2.4643940866603358,-3.25793541674092,0.13666536701967077
2018-SCH1,2018,Frozen-T2,378,3.3781722519816175,3.1037312249868942,-5.3210289469661,0.13249019955590294
2018-SCH1,2018,Selected-T2,378,2.5870586032546563,2.271943999959283,-2.7071207459523956,0.14012392549540098
2018-TXH1-Dry,2018,Frozen-T1,369,1.9605570090024516,1.5942256382389168,-1.300991150611142,-0.11916065443333577
2018-TXH1-Dry,2018,Frozen-T2,369,1.8574279366882016,1.4983497045843799,-1.0652847799686516,-0.12089394699984478
2018-TXH1-Dry,2018,Selected-T2,369,2.1261530931668116,1.7605542846108484,-1.7061076135504583,-0.12267730503670295
2018-TXH1-Early,2018,Frozen-T1,404,1.2734691004626122,0.977784677440671,-0.09689714959427942,-0.004233993478271105
2018-TXH1-Early,2018,Frozen-T2,404,1.2962480885262202,1.0032364115851575,-0.1364892772547479,-0.003242812596922945
2018-TXH1-Early,2018,Selected-T2,404,1.260848788665619,0.9697051945142287,-0.07526397484549996,-0.006284591753311577
2018-TXH1-Late,2018,Frozen-T1,434,2.147117733363679,1.867649765668822,-2.475850733778127,0.09821340898933147
2018-TXH1-Late,2018,Frozen-T2,434,2.36352128280988,2.099485896612507,-3.2118067369160253,0.10306857138438588
2018-TXH1-Late,2018,Selected-T2,434,1.9758642423199462,1.6869939624274755,-1.9434970423442617,0.09672691937485313
2018-TXH2,2018,Frozen-T1,443,1.6866794440314692,1.3301179512634094,-0.1852924495686219,-0.06811275397747275
2018-TXH2,2018,Frozen-T2,443,1.7245022800242074,1.3661404810514863,-0.23904751062187546,-0.06966167522485961
2018-TXH2,2018,Selected-T2,443,1.6397804739842545,1.2859469451638892,-0.12029354855816554,-0.06831165207521983
2018-WIH1,2018,Frozen-T1,401,3.1364934224842855,2.7261868444669464,-2.0243616834568274,-0.046543269431805825
2018-WIH1,2018,Frozen-T2,401,3.0246852376258144,2.6126812409094793,-1.8125829413019945,-0.05241406915146901
2018-WIH1,2018,Selected-T2,401,3.1698528488938957,2.7608471588806798,-2.089037415510647,-0.04597478182599855
2018-WIH2,2018,Frozen-T1,815,1.9183033242333325,1.451410634705555,-0.10004116458466839,0.14576598333641
2018-WIH2,2018,Frozen-T2,815,2.441264470361867,1.9346759613034665,-0.7815747114814717,0.1395947831295248
2018-WIH2,2018,Selected-T2,815,1.974049417576636,1.5014924790139816,-0.16490475835102436,0.14631646493922437
2019-DEH1,2019,Frozen-T1,814,2.9422787718463326,2.4962220635933856,-1.47104328831429,0.056808727698955716
2019-DEH1,2019,Frozen-T2,814,2.9442111822963195,2.497494685852588,-1.4742901852350485,0.03098077882436555
2019-DEH1,2019,Selected-T2,814,2.954840506750985,2.5099791534888833,-1.492188023621976,0.03944312661407353
2019-GAH2,2019,Frozen-T1,390,4.063137283170443,3.782462277168786,-6.783796242670687,-0.10667456725860922
