regime,environment,test_year,model,n,rmse,mae,r2,correlation
CV-E-B10,2017-NYH1,2017,G+E_T1,204,1.864355000062346,1.4857180788434294,-0.35635783088148165,0.11568717991232966
CV-E-B10,2017-NYH1,2017,G+E_T2,204,1.9521899192352212,1.558409019894868,-0.48717195560441673,0.11477206616369488
CV-E-B10,2017-NYH2,2017,G,197,2.3981824416571147,2.0623683255668523,-1.5442448864458336,0.14422925664490693
CV-E-B10,2017-NYH2,2017,G+E_T0,197,2.6250559095362176,2.2954917218989803,-2.048397435894068,0.11976857611022383
CV-E-B10,2017-NYH2,2017,G+E_T1,197,2.4354326542941744,2.1058785315815416,-1.623896631111081,0.13802118344745068
CV-E-B10,2017-NYH2,2017,G+E_T2,197,2.211779453669845,1.8809677953675863,-1.1641039171651784,0.14854946665687624
CV-E-B10,2017-NYH3,2017,G,132,2.302003897431719,1.9129843734431875,-0.9093301883289941,0.03557009170013845
CV-E-B10,2017-NYH3,2017,G+E_T0,132,2.328649098305986,2.005802285154077,-0.9537861660874314,0.008481715206282187
CV-E-B10,2017-NYH3,2017,G+E_T1,132,2.225954822745529,1.8888422645383893,-0.7852606051561102,-0.011130963224208661
CV-E-B10,2017-NYH3,2017,G+E_T2,132,2.1448567057470425,1.804812481589855,-0.6575456425690442,-0.0030415576471748062
CV-E-B10,2017-TXH1-Dry,2017,G,133,2.2460214814302,1.9408062828448995,-1.275287501733462,0.1234828577145006
CV-E-B10,2017-TXH1-Dry,2017,G+E_T0,133,2.5669967525394872,2.2386038224008202,-1.9720705097989182,0.13367562481312026
CV-E-B10,2017-TXH1-Dry,2017,G+E_T1,133,3.0743890800613944,2.7441769336641473,-3.263105965048445,0.09022353327716955
CV-E-B10,2017-TXH1-Dry,2017,G+E_T2,133,3.036585623702713,2.70691826919597,-3.1589101046982195,0.11102919995412934
CV-E-B10,2017-TXH1-Early,2017,G,178,2.5741421905047908,2.2789316744866874,-2.3628786996192144,0.1923555718007885
CV-E-B10,2017-TXH1-Early,2017,G+E_T0,178,2.886692718079352,2.5724658266332048,-3.229093141780008,0.13438238596386137
CV-E-B10,2017-TXH1-Early,2017,G+E_T1,178,3.411113425546001,3.114044585767527,-4.905252310929349,0.08765548044931376
CV-E-B10,2017-TXH1-Early,2017,G+E_T2,178,3.3747273051458366,3.0773073602222913,-4.779942362500783,0.1064602053048706
