test_year,train_year_max,n_train_environments,n_test_environments,config,e_rank_requested,e_rank_effective,gamma_multiplier,alpha,diagnostic_only_no_selection,rmse,mae,r2,correlation,frozen_t1_rmse,rmse_minus_frozen_t1
2018,2017,59,21,diagnostic_rank32_gamma2,32,32,2.0,10.0,True,2.379265209269183,1.9019560563873086,0.05782153948343882,0.3292848303262537,2.552737444147713,-0.1734722348785298
2018,2017,59,21,diagnostic_rank32_gamma4,32,32,4.0,10.0,True,2.3570567680001266,1.896413803349651,0.07532833904155023,0.294489627393304,2.552737444147713,-0.19568067614758622
2019,2018,80,21,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.8062747624706192,2.281401479586573,0.03611795275582108,0.3273585685976132,2.9195123659302205,-0.11323760345960121
2019,2018,80,21,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.811053897396166,2.2976782859625255,0.03283214132227452,0.2868016410263664,2.9195123659302205,-0.10845846853405439
2019,2018,80,21,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,2.8427305512296694,2.3211596057219013,0.010912065310570651,0.30369762277055673,2.9195123659302205,-0.07678181470055101
2019,2018,80,21,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.883742636592288,2.3494893167217965,-0.01783295332609769,0.3304757772347317,2.9195123659302205,-0.03576972933793243
2019,2018,80,21,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,2.7638889403099616,2.2249060916060066,0.0650149077023856,0.35320457135439454,2.9195123659302205,-0.15562342562025888
2019,2018,80,21,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,2.749597364952004,2.2243056140835207,0.0746591899996637,0.3858224488749634,2.9195123659302205,-0.16991500097821666
2019,2018,80,21,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,2.7464387581515686,2.2189976092230186,0.07678394399642274,0.4030051582051963,2.9195123659302205,-0.17307360777865188
2019,2018,80,21,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.860405608532458,2.3290053201155665,-0.0014257447782564103,0.3816851604456621,2.9195123659302205,-0.05910675739776261
2019,2018,80,21,diagnostic_rank32_gamma0.5,32,32,0.5,10.0,True,2.6144153160859678,2.1356194073444175,0.16341000107034398,0.4313815858059966,2.9195123659302205,-0.3050970498442527
2019,2018,80,21,diagnostic_rank32_gamma1,32,32,1.0,10.0,True,2.63172609135585,2.1476204226945477,0.15229473095005885,0.4179360604031897,2.9195123659302205,-0.28778627457437045
2019,2018,80,21,diagnostic_rank32_gamma2,32,32,2.0,10.0,True,2.6786937580330283,2.183426051373866,0.12176722293655295,0.3937789890313821,2.9195123659302205,-0.24081860789719212
2019,2018,80,21,diagnostic_rank32_gamma4,32,32,4.0,10.0,True,2.685897954950544,2.172384842200042,0.11703695479651699,0.38510946986780203,2.9195123659302205,-0.23361441097967628
2020,2019,101,16,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.614600943991354,2.1252716988821208,0.15304006218020083,0.4078400445102686,2.745177446719631,-0.13057650272827726
2020,2019,101,16,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.6680561466531403,2.1688369869828685,0.1180540500923577,0.3859795585948682,2.745177446719631,-0.07712130006649076
2020,2019,101,16,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,2.755336292926755,2.2274192815484275,0.05940803096663139,0.31221802121645836,2.745177446719631,0.01015884620712404
2020,2019,101,16,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.894547240982759,2.343174339836923,-0.03803817337267801,0.15000929315996397,2.745177446719631,0.1493697942631278
2020,2019,101,16,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,2.456562985169463,1.9781206067745345,0.2523336268714689,0.5158700178702826,2.745177446719631,-0.28861446155016823
2020,2019,101,16,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,2.500989582175691,2.0224091963143165,0.22504621053222185,0.48536683969407907,2.745177446719631,-0.24418786454394015
